"","YOB","GrandParentType","CoupleType","BirthPlaceMom","BirthPlaceDad","LAHusband","LAWife","HusbandEducation","WifeEducation","Husband_ftotval","Fertility"
"65",1987,"Hispanic maternal grandfather","Hispanic-Hispanic","Mexico","Mexico",1,1,10,10,10.4776372909546,5
"66",1987,"Hispanic maternal grandfather","White-White","El Salvador","USA",0,0,10.4285714285714,10.4285714285714,10.8567848205566,2.71428571428571
"67",1987,"Hispanic maternal grandfather","White-White","Honduras","USA",0,0,14,14,10.0955972671509,2
"68",1987,"Hispanic maternal grandfather","White-White","Mexico","USA",0,0,14,14,9.9532151222229,2.31578947368421
"69",1987,"Hispanic maternal grandfather","White-White","USA","USA",0,0,14.6038647342995,14.6038647342995,10.9566414621141,2.9338061465721
"70",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Colombia","Colombia",1,1,13.75,13.75,9.7988395690918,2.16666666666667
"71",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Cuba","Cuba",1,1,14.6666666666667,14.6666666666667,10.6989388465881,2.27777777777778
"72",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Dominican Republic","Dominican Republic",1,1,9.33333333333333,9.33333333333333,9.01190567016602,1.72727272727273
"73",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Ecuador",1,1,15,15,9.53502941131592,2.2
"74",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Mexico",1,1,10,10,11.1071109771729,3
"75",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","El Salvador",1,1,8.47368421052632,8.47368421052632,10.3221610387166,2.5625
"76",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","Mexico",1,1,9.33333333333333,9.33333333333333,10.7901706695557,2.66666666666667
"77",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Guatemala","Guatemala",1,1,9.5,9.5,10.3825054168701,3.16666666666667
"78",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Honduras","Mexico",1,1,14,14,10.6190919876099,2
"79",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","El Salvador",1,1,12,12,9.88333606719971,6
